image_id,image_filename,country,source,category,contains_leaf,leaf_visibility,health_observable,usable_for_cropping,notes
BH_061,3859847575_2.jpg,Bahrain,GBIF,A,yes,clear,yes,yes,"high resolution tree image with dominant leaves, and small flowers"
BH_062,1839275906_0.jpg,Bahrain,GBIF,A,yes,clear,yes,yes,"medium resolution , flowers"
BH_063,1839275906_1.jpg,Bahrain,GBIF,C,yes,clear,no,no,medium resolution whole tree with sea view
BH_064,5153250302_0.jpg,Bahrain,GBIF,B,yes,clear,no,no,medium resolution whole tree
BH_065,574917912_0.jpg,Bahrain,GBIF,A,yes,clear,yes,no,"medium res, study dry leaves with both unhealthy and healthy"
BH_066,574917912_1.jpg,Bahrain,GBIF,A,yes,clear,yes,no,"study dry leaves with both unhealthy and healthy, low resolution"
BH_067,574917912_2.jpg,Bahrain,GBIF,A,yes,clear,yes,no,"study dry leaves with both unhealthy and healthy, low resolution"
BH_068,5916650643_0.jpg,Bahrain,GBIF,A,yes,clear,yes,yes,study dry leaves with both unhealthy and healthy
BH_069,5916327960_0.jpg,Bahrain,GBIF,A,yes,clear,yes,yes,study dry leaves with both unhealthy and healthy
BH_070,5915573153_0.jpg,Bahrain,GBIF,A,yes,clear,yes,no,"study dry leaves with both unhealthy and healthy, low resolution"
BH_071,Arad2.jpg,Bahrain,local_research,C,yes,poor,no,no,"many objects, low resolution, far distant"
BH_072,mangroves in Arad.jpg,Bahrain,local_research,C,yes,poor,no,no,"many objects, low resolution, far distant"
BH_073,Mud.jpg,Bahrain,local_research,D,no,poor,no,no,mangrove mud area
BH_074,081406.png,Bahrain,Flickr,B,yes,clear,yes,no,low resolution whole tree in water
BH_075,Tubli 4.jpeg,Bahrain,local_research,C,yes,partial,no,no,"low resolution, far distance"
BH_076,Tubli 5.jpeg,Bahrain,local_research,C,yes,partial,yes,no,"low resolution, far distance"
BH_077,Tubli 6.jpeg,Bahrain,local_research,C,yes,partial,yes,no,"low resolution, far distance"
BH_078,Tubli 9 samall size.jpeg,Bahrain,local_research,C,yes,clear,yes,no,low resolution
BH_079,Tubli 9 samall size2.jpeg,Bahrain,local_research,C,yes,clear,yes,no,low resolution
BH_080,Tubli 9.jpeg,Bahrain,local_research,C,yes,clear,yes,no,low resolution
BH_081,Tubli 10.jpeg,Bahrain,local_research,C,yes,clear,yes,no,low resolution
BH_082,Tubli 11.jpeg,Bahrain,local_research,C,yes,clear,yes,no,low resolution
BH_083,WhatsApp Image 2025-12-09 at 6.10.25 PM.jpeg,Bahrain,local_research,B,yes,clear,no,no,"low resolution, whole tree"
BH_084,WhatsApp Image 2025-12-09 at 6.10.26 PM (1).jpeg,Bahrain,local_research,B,yes,clear,no,no,"low resolution, whole tree"
BH_085,WhatsApp Image 2025-12-09 at 6.10.26 PM (2).jpeg,Bahrain,local_research,B,yes,clear,no,no,"low resolution, whole tree"
BH_086,WhatsApp Image 2025-12-09 at 6.10.26 PM (3).jpeg,Bahrain,local_research,A,yes,clear,yes,yes,high resolution leaf focused
BH_087,WhatsApp Image 2025-12-09 at 6.10.26 PM.jpeg,Bahrain,local_research,B,yes,clear,no,no,"low resolution, whole tree"
BH_088,WhatsApp Image 2025-12-09 at 6.10.27 PM (1).jpeg,Bahrain,local_research,B,yes,clear,no,no,"low resolution, whole tree, very far distance"
BH_089,WhatsApp Image 2025-12-09 at 6.10.27 PM.jpeg,Bahrain,local_research,B,yes,clear,no,no,"low resolution, whole tree,far distance"
BH_090,WhatsApp Image 2025-12-09 at 6.10.28 PM.jpeg,Bahrain,local_research,B,yes,clear,no,no,"low resolution, whole tree"
BH_091,WhatsApp Image 2025-12-09 at 6.10.29 PM (1).jpeg,Bahrain,local_research,B,yes,clear,no,no,"low resolution, whole tree, far distance"
BH_092,WhatsApp Image 2025-12-09 at 6.10.29 PM.jpeg,Bahrain,local_research,B,yes,clear,no,no,"low resolution, whole tree, far distance"
BH_093,WhatsApp Image 2025-12-09 at 6.10.30 PM.jpeg,Bahrain,local_research,B,yes,clear,no,no,"low resolution, whole tree, far distance"
