,PC,Variance (%),Cumulative (%)
0,PC1,46.071,46.071
1,PC2,32.275,78.346
2,PC3,13.155,91.501
3,PC4,4.349,95.85
4,PC5,3.174,99.024
5,PC6,0.693,99.717
6,PC7,0.276,99.994
7,PC8,0.005,99.998
8,PC9,0.001,99.999
9,PC10,0.001,100.0
