filename,country,area_px,perimeter_px,major_axis_px,minor_axis_px,aspect_ratio,extent,roundness,circularity,convexity,solidity,orientation
BH_L_004_leaf01_mask.png,BH,79795.0,1441.626540184021,583.3370361328125,205.77891540527344,2.8347755404578416,0.5557335376257966,0.29857036309469265,0.4824807660908871,0.9372504222592151,0.9263139565255246,0.5349685549736023
BH_L_007_leaf01_mask.png,BH,45332.0,1338.8468835353851,538.48388671875,183.96591186523438,2.9270851390839216,0.2900542588042588,0.1990533881419569,0.31779928816278236,0.9411776819555634,0.6744628935309172,117.48766326904297
BH_L_010_leaf01_mask.png,BH,68407.5,1387.325024485588,614.8401489257812,184.45262145996094,3.3333229100202533,0.49331145885916206,0.23040367375784057,0.4466395146334329,0.9400755771320953,0.8544422377936823,102.9255599975586
BH_L_014_leaf01_mask.png,BH,28648.0,722.8670928478241,214.83795166015625,179.64146423339844,1.1959263000719529,0.6584233509538038,0.7902826011450923,0.6889492988617091,0.9035362504802927,0.9191183547755784,87.26533508300781
BH_L_018_leaf01_mask.png,BH,29574.0,736.891478061676,286.7599792480469,143.31060791015625,2.0009682704564438,0.5720309477756286,0.4579131406765505,0.6844045126834882,0.9468260154584242,0.9682108364707808,23.115093231201172
BH_L_019_leaf01_mask.png,BH,42380.5,909.5849100351334,363.2823486328125,153.81829833984375,2.361762888770113,0.5222360508675079,0.4088722174004728,0.6437088003456967,0.9495881497960129,0.9759357980909834,139.3363037109375
BH_L_020_leaf01_mask.png,BH,329278.0,2389.027684688568,896.6527099609375,477.0801696777344,1.8794591914533412,0.7133714632349755,0.5214639656724085,0.7249869918258588,0.9462706068610659,0.9850423898671166,3.7229621410369873
BH_L_022_leaf01_mask.png,BH,651779.5,3733.9851781129837,1417.9798583984375,679.4055786132812,2.0870889245458404,0.6004439445193718,0.4127344228862172,0.5874425242497874,0.9396466391242654,0.9460016096176469,12.320569038391113
BH_L_026_leaf01_mask.png,BH,73676.5,1371.0306490659714,545.02294921875,189.58282470703125,2.874854038391887,0.41102649930264995,0.31579810983137857,0.4925434223266833,0.9389142531298945,0.9545195434464353,35.20622634887695
BH_SANAD_L_001_leaf01_mask.png,BH,676532.0,3922.45739030838,1592.4586181640625,608.8197021484375,2.615648955749139,0.47690117016777106,0.3396738792777738,0.5525629206313742,0.9359659093412728,0.902628773617002,151.38304138183594
BH_SANAD_L_003_leaf01_mask.png,BH,2347057.0,6504.750012874603,2360.512451171875,1305.0318603515625,1.8087776420538704,0.6696622410685575,0.5363165073399122,0.6970633989560916,0.9402269841221952,0.984554159231303,76.88036346435547
BH_SANAD_L_004_leaf01_mask.png,BH,1260232.5,4901.959040045738,1912.0963134765625,880.328125,2.1720268376936867,0.587095642597391,0.4388754276747112,0.6590542778606829,0.9422745410811773,0.980135692639489,24.432897567749023
BH_SANAD_L_005_leaf01_mask.png,BH,1149016.0,5135.697942972183,2053.92626953125,766.0696411132812,2.681122132116353,0.6912018864916729,0.3467899442034816,0.5474405897935558,0.9322413870537135,0.9496353170159221,2.247112512588501
BH_SANAD_L_006_leaf01_mask.png,BH,45983.0,987.6366448402405,394.4455261230469,156.36026000976562,2.5226712087739647,0.6977481715274195,0.37629924882109284,0.5923968970508318,0.9448609243123619,0.95584842122768,170.06565856933594
BH_SANAD_L_007_leaf01_mask.png,BH,34162.5,855.6538897752762,348.0508117675781,130.6204071044922,2.6645975118508742,0.681967900347347,0.35906614685879934,0.5863585345487314,0.9499186659954187,0.9765457507932425,177.7886505126953
BH_SANAD_L_008_leaf01_mask.png,BH,64057.5,1073.2173789739609,395.39398193359375,210.91986083984375,1.8746171193135075,0.6430184701867095,0.5216989878340696,0.6988829665549182,0.9265425748648355,0.9797571159817072,129.56918334960938
BH_SANAD_L_010_leaf01_mask.png,BH,49007.0,936.2884466648102,353.60833740234375,186.06134033203125,1.9004933360757295,0.6139227820509608,0.4990260805719813,0.7025037596091133,0.9380122038241663,0.9784863580548873,29.512792587280273
BH_SANAD_L_012_leaf01_mask.png,BH,63188.0,1081.7686755657196,404.24688720703125,215.62472534179688,1.8747705605942941,0.5840735776678837,0.4923243988245184,0.6785403373600429,0.9481762550169238,0.954465465805672,31.079030990600586
BH_SANAD_L_013_leaf01_mask.png,BH,55702.0,945.2001340389252,324.66619873046875,228.2667694091797,1.4223103939780575,0.6477353334496192,0.6728321808773244,0.7834893615706271,0.9403145944762258,0.9864260605470306,146.24951171875
BH_SANAD_L_020_leaf01_mask.png,BH,141555.5,2060.2063978910446,701.3822021484375,354.12884521484375,1.980584783267009,0.4097143832959959,0.36637630989263126,0.4190975761431782,0.8781301791408113,0.7542607013739213,147.48690795898438
BH_SANAD_L_023_leaf01_mask.png,BH,581634.5,3376.647084593773,1228.56298828125,660.4993896484375,1.8600516632349569,0.6085156801715795,0.4906427913465282,0.6410452388512671,0.9291197474626826,0.9635445269162689,119.26233673095703
BH_SANAD_L_024_leaf01_mask.png,BH,284313.0,2397.0621745586395,830.4337768554688,465.854248046875,1.7826042809250269,0.7470165371336686,0.5249244792595532,0.6217960864599855,0.8807130928700354,0.9702455704496438,91.30365753173828
BH_SANAD_L_027_leaf01_mask.png,BH,178356.0,1829.6753106117249,672.37939453125,357.18756103515625,1.8824266796487656,0.700052987930527,0.5023067924588717,0.6694983827311739,0.9366249370345654,0.9493510191806633,162.80482482910156
BH_SANAD_L_028_leaf01_mask.png,BH,105660.5,1486.3687425851822,609.360107421875,224.78623962402344,2.7108425695500236,0.4899651748906788,0.36230534560081745,0.6009929782479108,0.9509833257893282,0.9693223674251981,136.8137664794922
BH_SANAD_L_030_leaf01_mask.png,BH,51607.5,1017.6193999052048,376.08721923828125,195.54458618164062,1.9232811635548697,0.5841124139804419,0.464564254383403,0.6262560431815392,0.9345001036330818,0.9458159225863206,151.58326721191406
BH_SANAD_L_033_leaf01_mask.png,BH,88092.5,1192.790972828865,385.4027404785156,298.0003662109375,1.2932961975144386,0.7425319037745073,0.7551260573073283,0.7780725820703908,0.9402537212054755,0.9780285661946343,54.00499725341797
BH_SANAD_L_034_leaf01_mask.png,BH,67776.0,1044.6072072982788,348.4825134277344,254.48226928710938,1.3693783633883467,0.7676520557254503,0.7105981489599774,0.7805123193889871,0.9404825056350228,0.976944310311277,116.57630920410156
BH_SANAD_L_035_leaf01_mask.png,BH,91286.0,1248.0529463291168,459.5995178222656,258.36077880859375,1.7789059157572804,0.6965631962884962,0.5502438121089297,0.7364580636270139,0.9455060849257009,0.9849218037730556,3.4668140411376953
BH_SANAD_L_036_leaf01_mask.png,BH,69453.5,1131.325024485588,434.7811584472656,204.78208923339844,2.1231405543075983,0.6060832155261183,0.4678028077642188,0.6819133815331134,0.9487625763112101,0.984653226721107,118.71697998046875
BH_SANAD_L_038_leaf01_mask.png,BH,55208.5,1010.1290663480759,384.4057922363281,186.92173767089844,2.0565066269238717,0.6058545953360768,0.47570336143256675,0.6799266682868698,0.9478236539117909,0.9786572124972303,118.0044937133789
BH_SANAD_L_039_leaf01_mask.png,BH,108857.0,1394.8813734054565,524.0278930664062,273.1956481933594,1.9181414364826033,0.634423955613577,0.5047283176383995,0.7030588436390982,0.9472252130659015,0.9742949458063708,57.08139419555664
BH_SANAD_L_040_leaf01_mask.png,BH,112592.5,1419.4326699972153,524.6510620117188,280.8079528808594,1.8683625468197356,0.6641332365970047,0.5208089852867642,0.702246741422206,0.9479344860385771,0.982332540842367,83.50823211669922
BH_SANAD_L_042_leaf01_mask.png,BH,46323.0,966.2295715808868,369.54437255859375,171.90023803710938,2.1497606796729243,0.5198989898989899,0.43189045886768646,0.6235135440538901,0.9472562437703317,0.9786721597211219,136.65663146972656
BH_SANAD_L_043_leaf01_mask.png,BH,29482.5,742.4823168516159,287.5755310058594,132.37890625,2.1723667248222136,0.7015633923472302,0.4539108511553273,0.672050551073162,0.9513056123811586,0.9878373624164447,84.66814422607422
BH_SANAD_L_049_leaf01_mask.png,BH,163270.0,1749.1555395126343,642.5941162109375,338.4311218261719,1.8987441602400639,0.6472495758210044,0.5034345554874379,0.6705935889823635,0.913373621252616,0.9642460608065011,151.80618286132812
BH_SANAD_L_053_leaf01_mask.png,BH,67286.5,1137.6681703329086,436.72222900390625,202.20860290527344,2.159760874311035,0.5818215619811843,0.4491872921740301,0.6532908678217477,0.9407848727748371,0.9761144879810831,30.90771484375
BH_SANAD_L_054_leaf01_mask.png,BH,323270.5,2339.0104397535324,854.1774291992188,490.21893310546875,1.742440716820388,0.7106283028656344,0.5641310585437623,0.74252591999517,0.9486859630563304,0.9804216228019629,170.84095764160156
